"week","day","techno","ecart_type","moyenne"
46,2,"fil_eau",1254.56484793412,4006.23214285714
46,2,"lac",379.643179991102,2284.17261904762
46,2,"cogeneration",379.596291519535,3515.62202380952
46,2,"nucleaire",4379.18353529809,44738.6071428571
46,3,"consommation",6326.95165891033,59304.0238095238
46,3,"eolien",2347.79376612733,3473.5744047619
46,3,"solaire",241.04155095448,657.080357142857
46,3,"fil_eau",1182.70964716578,3986.88392857143
46,3,"lac",927.169121955913,2806.86607142857
46,3,"cogeneration",399.972089024982,3488.65773809524
46,3,"nucleaire",3321.33105828039,44308.625
46,4,"consommation",7728.6029608072,58597.2351190476
46,4,"eolien",1177.99052920668,2603.59523809524
46,4,"solaire",242.857072585969,697.741071428571
46,4,"fil_eau",1175.60311175156,3840.35416666667
46,4,"lac",861.404275537059,2637.28571428571
46,4,"cogeneration",349.284329219137,3505.76488095238
46,4,"nucleaire",3801.65663406614,44683.7708333333
46,5,"consommation",6037.7706482968,61030.818452381
46,5,"eolien",1353.21427650669,2602.32738095238
46,5,"solaire",227.599797776892,628.032738095238
46,5,"fil_eau",1085.26043290905,3935.78869047619
46,5,"lac",777.323492680269,3053.37797619048
46,5,"cogeneration",331.732937988021,3573.48511904762
46,5,"nucleaire",4226.74278553184,44939.9017857143
46,6,"consommation",5747.17728506164,60110.8839285714
46,6,"eolien",1221.65955094197,2786.16071428571
46,6,"solaire",237.287906289449,570.657738095238
46,6,"fil_eau",1237.74216168507,4007.93154761905
46,6,"lac",979.142224344542,2808.50892857143
46,6,"cogeneration",331.577876908067,3551.95833333333
46,6,"nucleaire",4311.64162514932,44786.7023809524
46,7,"consommation",5424.12454158242,55338.4345238095
46,7,"eolien",2358.72398332879,4032.03571428571
46,7,"solaire",232.788083926181,587.997023809524
46,7,"fil_eau",1345.45835628312,3557.44642857143
46,7,"lac",710.789941006794,1634.16071428571
46,7,"cogeneration",372.927536392751,3507.14880952381
46,7,"nucleaire",3653.17242497765,43102.4047619048
47,1,"consommation",3073.6267092504,55413.806547619
